elapsed_time,tokens_generated
105.152761,29467
105.231655,29507
105.306362,29547
105.383147,29587
105.460722,29627
105.539436,29667
105.615350,29707
105.691425,29747
105.767523,29787
105.846483,29827
105.922766,29867
105.997195,29907
106.074938,29947
106.152996,29987
106.231045,30027
106.305443,30067
106.381845,30107
106.458910,30147
106.537402,30187
106.613350,30227
106.688435,30267
106.768079,30307
106.847306,30347
106.921698,30387
106.997329,30427
107.078736,30467
107.156108,30507
107.231587,30547
107.306427,30587
107.381960,30627
107.461080,30667
107.538992,30707
107.602069,30747
107.679772,30787
107.758960,30827
107.836688,30867
107.912465,30907
107.987034,30947
108.064977,30987
108.141563,31027
108.214796,31067
108.291869,31107
108.370540,31147
108.443671,31187
108.519414,31227
108.597445,31267
108.674032,31307
108.750349,31347
108.827246,31387
108.901139,31427
108.980020,31467
109.056419,31507
109.130025,31547
109.206689,31587
109.285421,31627
109.360452,31667
109.434962,31707
109.512410,31747
109.588341,31787
109.666797,31827
109.743515,31867
109.818058,31907
109.898563,31947
109.978196,31987
110.051919,32027
110.128309,32067
110.206473,32107
110.284659,32147
110.360050,32187
110.435399,32227
110.513062,32267
110.592106,32307
110.669030,32347
110.745639,32387
110.823291,32427
110.902210,32467
110.986571,32507
111.060589,32547
111.136694,32587
111.220043,32627
111.298762,32667
111.375126,32707
111.453059,32747
111.535360,32787
111.615084,32827
111.697968,32867
111.773896,32907
111.849580,32947
111.928395,32987
112.009628,33027
112.088476,33067
112.163792,33107
112.244378,33147
112.325356,33187
112.402301,33227
112.482895,33267
112.560171,33307
112.638023,33347
112.720636,33387
112.801350,33427
112.877648,33467
112.959220,33507
113.037872,33547
113.115223,33587
113.198156,33627
113.273540,33667
113.350978,33707
113.432157,33747
113.512712,33787
113.592267,33827
113.668353,33867
113.747491,33907
113.826700,33947
113.903148,33987
113.978502,34027
114.055134,34067
114.135021,34107
114.212983,34147
114.287840,34187
114.366206,34227
114.444079,34267
114.522640,34307
114.598882,34347
114.674783,34387
114.758101,34427
114.839229,34467
114.917486,34507
114.992709,34547
115.071537,34587
115.150163,34627
115.226741,34667
115.302344,34707
115.377588,34747
115.456552,34787
115.539256,34827
115.615708,34867
115.692040,34907
115.770132,34947
115.848671,34987
115.923729,35027
115.999144,35067
116.075644,35107
116.154465,35147
116.230485,35187
116.305348,35227
116.382527,35267
116.462443,35307
116.540925,35347
116.616563,35387
116.693148,35427
116.772442,35467
116.848542,35507
116.924236,35547
116.999426,35587
117.078101,35627
117.157332,35667
117.234730,35707
117.310084,35747
117.386754,35787
117.465448,35827
117.541353,35867
117.617610,35907
117.694116,35947
117.775902,35987
117.852421,36027
117.927560,36067
118.003956,36107
118.083396,36147
118.163325,36187
118.239307,36227
118.314969,36267
118.392519,36307
118.470714,36347
118.546925,36387
118.622309,36427
118.700774,36467
118.782967,36507
118.863227,36547
118.938054,36587
119.014796,36627
119.092670,36667
119.176896,36707
119.253342,36747
119.328557,36787
119.408108,36827
119.488354,36867
119.567212,36907
119.642278,36947
119.721314,36987
119.800471,37027
119.877667,37067
119.953084,37107
120.028138,37147
120.108788,37187
120.189334,37227
120.264851,37267
120.341947,37307
120.420274,37347
120.498748,37387
120.574559,37427
120.650110,37467
120.726479,37507
120.807664,37547
120.883537,37587
120.958027,37627
121.036316,37667
121.115937,37707
121.193660,37747
121.273302,37787
121.350359,37827
121.428192,37867
121.508177,37907
121.584369,37947
121.664547,37987
121.741316,38027
121.822863,38067
121.901898,38107
121.980288,38147
122.058506,38187
122.134733,38227
122.212260,38267
122.287701,38307
122.364718,38347
122.443765,38387
122.523552,38427
122.605807,38467
122.682819,38507
122.759934,38547
122.839140,38587
122.919931,38627
122.995499,38667
123.074251,38707
123.151804,38747
123.231110,38787
123.308689,38827
123.384154,38867
123.460191,38907
123.539214,38947
123.618837,38987
123.697236,39027
123.773655,39067
123.853451,39107
123.933176,39147
124.011407,39187
124.086909,39227
124.163198,39267
124.245173,39307
124.324145,39347
124.399250,39387
124.476173,39427
124.554831,39467
124.633921,39507
124.713607,39547
124.789577,39587
124.871899,39627
124.949648,39667
125.027466,39707
125.102906,39747
125.178598,39787
125.258280,39827
125.337368,39867
125.413416,39907
125.494034,39947
125.576573,39987
125.659157,40027
125.739688,40067
125.819477,40107
125.895912,40147
125.981303,40187
126.060098,40227
126.142607,40267
126.217947,40307
126.294930,40347
126.378139,40387
126.456813,40427
126.533466,40467
126.609359,40507
126.692380,40547
126.770197,40587
126.850776,40627
